iter	Passed	Remaining
682	18167	8432
683	18193	8405
684	18216	8377
685	18242	8350
686	18266	8322
687	18293	8295
688	18319	8268
689	18342	8240
690	18366	8213
691	18391	8185
692	18418	8159
693	18441	8131
694	18467	8104
695	18494	8078
696	18521	8051
697	18547	8024
698	18573	7998
699	18600	7971
700	18627	7945
701	18653	7918
702	18678	7891
703	18703	7863
704	18726	7835
705	18752	7809
706	18779	7782
707	18802	7754
708	18830	7728
709	18857	7702
710	18884	7676
711	18911	7649
712	18937	7622
713	18964	7596
714	18990	7569
715	19015	7542
716	19040	7515
717	19066	7488
718	19091	7461
719	19116	7434
720	19140	7406
721	19166	7379
722	19193	7353
723	19218	7326
724	19246	7300
725	19272	7273
726	19300	7247
727	19324	7220
728	19348	7192
729	19374	7166
730	19403	7140
731	19429	7113
732	19456	7087
733	19484	7060
734	19510	7034
735	19536	7007
736	19563	6981
737	19590	6955
738	19616	6928
739	19642	6901
740	19668	6874
741	19695	6848
742	19720	6821
743	19748	6795
744	19776	6769
745	19804	6743
746	19831	6716
747	19856	6689
748	19882	6662
749	19907	6635
750	19934	6609
751	19958	6582
752	19986	6555
753	20011	6528
754	20037	6502
755	20062	6475
756	20086	6447
757	20110	6420
758	20137	6394
759	20162	6367
760	20191	6341
761	20215	6314
762	20242	6287
763	20271	6261
764	20297	6235
765	20322	6208
766	20348	6181
767	20375	6155
768	20400	6127
769	20427	6101
770	20452	6074
771	20481	6048
772	20508	6022
773	20533	5995
774	20561	5969
775	20588	5943
776	20616	5916
777	20643	5890
778	20669	5863
779	20694	5837
780	20719	5810
781	20745	5783
782	20773	5757
783	20800	5730
784	20826	5704
785	20852	5677
786	20879	5651
787	20907	5624
788	20933	5598
789	20959	5571
790	20985	5544
791	21012	5518
792	21039	5492
793	21068	5466
794	21097	5440
795	21123	5413
796	21148	5386
797	21174	5360
798	21200	5333
799	21228	5307
800	21255	5280
801	21282	5254
802	21306	5227
803	21334	5201
804	21361	5174
805	21387	5147
806	21413	5121
807	21438	5094
808	21467	5068
809	21495	5042
810	21521	5015
811	21547	4988
812	21575	4962
813	21603	4936
814	21630	4909
815	21657	4883
816	21681	4856
817	21705	4829
818	21731	4802
819	21758	4776
820	21785	4749
821	21811	4723
822	21843	4697
823	21866	4670
824	21892	4643
825	21918	4617
826	21943	4590
827	21970	4563
828	21998	4537
829	22026	4511
830	22052	4484
831	22081	4458
832	22107	4432
833	22135	4405
834	22161	4379
835	22187	4352
836	22214	4326
837	22241	4299
838	22269	4273
839	22295	4246
840	22322	4220
841	22351	4194
842	22376	4167
843	22401	4140
844	22430	4114
845	22456	4087
846	22480	4060
847	22506	4034
848	22532	4007
849	22559	3981
850	22584	3954
851	22610	3927
852	22636	3901
853	22664	3874
854	22689	3847
855	22715	3821
856	22741	3794
857	22772	3768
858	22798	3742
859	22823	3715
860	22849	3688
861	22876	3662
862	22900	3635
863	22927	3608
864	22954	3582
865	22980	3555
866	23008	3529
867	23034	3502
868	23059	3476
869	23083	3449
870	23108	3422
871	23135	3396
872	23159	3369
873	23185	3342
874	23211	3315
875	23236	3289
876	23264	3262
877	23290	3236
878	23316	3209
879	23341	3182
880	23368	3156
881	23392	3129
882	23420	3103
883	23445	3076
884	23472	3050
885	23496	3023
886	23521	2996
887	23548	2970
888	23574	2943
889	23602	2917
890	23628	2890
891	23652	2863
892	23676	2836
893	23701	2810
894	23726	2783
895	23752	2756
896	23777	2730
897	23803	2703
898	23830	2677
899	23856	2650
900	23883	2624
901	23910	2597
902	23935	2571
903	23961	2544
904	23986	2517
905	24012	2491
906	24039	2464
907	24065	2438
908	24092	2411
909	24117	2385
910	24144	2358
911	24170	2332
912	24196	2305
913	24224	2279
914	24249	2252
915	24275	2226
916	24302	2199
917	24326	2172
918	24354	2146
919	24380	2120
920	24417	2094
921	24465	2069
922	24504	2044
923	24554	2019
924	24587	1993
925	24635	1968
926	24664	1942
927	24691	1915
928	24718	1889
929	24744	1862
930	24771	1835
931	24796	1809
932	24823	1782
933	24853	1756
934	24877	1729
935	24902	1702
936	24927	1676
937	24953	1649
938	24978	1622
939	25004	1596
940	25030	1569
941	25053	1542
942	25079	1515
943	25106	1489
944	25135	1462
945	25160	1436
946	25188	1409
947	25214	1383
948	25239	1356
949	25265	1329
950	25292	1303
951	25318	1276
952	25343	1249
953	25371	1223
954	25397	1196
955	25424	1170
956	25450	1143
957	25475	1116
958	25504	1090
959	25530	1063
960	25556	1037
961	25582	1010
962	25608	983
963	25632	957
964	25657	930
965	25687	904
966	25713	877
967	25740	850
968	25769	824
969	25797	797
970	25823	771
971	25849	744
972	25874	718
973	25899	691
974	25931	664
975	25957	638
976	25983	611
977	26010	585
978	26036	558
979	26076	532
980	26108	505
981	26139	479
982	26180	452
983	26213	426
984	26239	399
985	26266	372
986	26296	346
987	26330	319
988	26356	293
989	26384	266
990	26411	239
991	26437	213
992	26463	186
993	26489	159
994	26515	133
995	26541	106
996	26566	79
997	26593	53
998	26617	26
999	26644	0
